k,method,gene_balance,patient_balance,validation,status,time_seconds,genes_selected,error,validation_name,note
32,SCAD,No,Yes,cv,success,2.7,32,,5-Fold CV,SCAD uses regularization-based selection (balance N/A)
32,SCAD,No,Yes,cv,success,2.85,32,,10-Fold CV,SCAD uses regularization-based selection (balance N/A)
32,SCAD,No,Yes,loocv,success,3.38,32,,LOOCV,SCAD uses regularization-based selection (balance N/A)
32,SCAD,No,No,split,success,3.13,32,,70/30 Split,SCAD uses regularization-based selection (balance N/A)
32,SCAD,No,No,split,success,3.55,32,,80/20 Split,SCAD uses regularization-based selection (balance N/A)
32,SCAD,No,No,cv,success,3.39,32,,5-Fold CV,SCAD uses regularization-based selection (balance N/A)
32,SCAD,No,No,cv,success,2.71,32,,10-Fold CV,SCAD uses regularization-based selection (balance N/A)
32,SCAD,No,No,loocv,success,3.06,32,,LOOCV,SCAD uses regularization-based selection (balance N/A)
50,ANOVA,Yes,Yes,split,success,0.19,50,,70/30 Split,
50,ANOVA,Yes,Yes,split,success,0.19,50,,80/20 Split,
50,ANOVA,Yes,Yes,cv,success,0.27,50,,5-Fold CV,
50,ANOVA,Yes,Yes,cv,success,0.22,50,,10-Fold CV,
50,ANOVA,Yes,Yes,loocv,success,0.32,50,,LOOCV,
50,ANOVA,Yes,No,split,success,0.21,50,,70/30 Split,
50,ANOVA,Yes,No,split,success,0.2,50,,80/20 Split,
50,ANOVA,Yes,No,cv,success,0.22,50,,5-Fold CV,
50,ANOVA,Yes,No,cv,success,0.23,50,,10-Fold CV,
50,ANOVA,Yes,No,loocv,success,0.36,50,,LOOCV,
50,ANOVA,No,Yes,split,success,0.32,50,,70/30 Split,
50,ANOVA,No,Yes,split,success,0.32,50,,80/20 Split,
50,ANOVA,No,Yes,cv,success,0.2,50,,5-Fold CV,
50,ANOVA,No,Yes,cv,success,0.25,50,,10-Fold CV,
50,ANOVA,No,Yes,loocv,success,0.28,50,,LOOCV,
50,ANOVA,No,No,split,success,0.2,50,,70/30 Split,
50,ANOVA,No,No,split,success,0.19,50,,80/20 Split,
50,ANOVA,No,No,cv,success,0.2,50,,5-Fold CV,
50,ANOVA,No,No,cv,success,0.23,50,,10-Fold CV,
50,ANOVA,No,No,loocv,success,0.36,50,,LOOCV,
50,SNR,Yes,Yes,split,success,1.09,50,,70/30 Split,
50,SNR,Yes,Yes,split,success,0.94,50,,80/20 Split,
50,SNR,Yes,Yes,cv,success,1.28,50,,5-Fold CV,
50,SNR,Yes,Yes,cv,success,1.04,50,,10-Fold CV,
50,SNR,Yes,Yes,loocv,success,1.03,50,,LOOCV,
50,SNR,Yes,No,split,success,1.01,50,,70/30 Split,
50,SNR,Yes,No,split,success,1.18,50,,80/20 Split,
50,SNR,Yes,No,cv,success,1.14,50,,5-Fold CV,
50,SNR,Yes,No,cv,success,1.04,50,,10-Fold CV,
50,SNR,Yes,No,loocv,success,1.17,50,,LOOCV,
50,SNR,No,Yes,split,success,1.13,50,,70/30 Split,
50,SNR,No,Yes,split,success,1.4,50,,80/20 Split,
50,SNR,No,Yes,cv,success,1.22,50,,5-Fold CV,
50,SNR,No,Yes,cv,success,1.17,50,,10-Fold CV,
50,SNR,No,Yes,loocv,success,1.16,50,,LOOCV,
50,SNR,No,No,split,success,1.19,50,,70/30 Split,
50,SNR,No,No,split,success,1.12,50,,80/20 Split,
50,SNR,No,No,cv,success,0.98,50,,5-Fold CV,
50,SNR,No,No,cv,success,1.02,50,,10-Fold CV,
50,SNR,No,No,loocv,success,1.32,50,,LOOCV,
50,SCAD,Yes,Yes,split,success,2.69,50,,70/30 Split,SCAD uses regularization-based selection (balance N/A)
50,SCAD,Yes,Yes,split,success,2.74,50,,80/20 Split,SCAD uses regularization-based selection (balance N/A)
50,SCAD,Yes,Yes,cv,success,2.51,50,,5-Fold CV,SCAD uses regularization-based selection (balance N/A)
50,SCAD,Yes,Yes,cv,success,2.96,50,,10-Fold CV,SCAD uses regularization-based selection (balance N/A)
50,SCAD,Yes,Yes,loocv,success,2.5,50,,LOOCV,SCAD uses regularization-based selection (balance N/A)
50,SCAD,Yes,No,split,success,2.71,50,,70/30 Split,SCAD uses regularization-based selection (balance N/A)
50,SCAD,Yes,No,split,success,2.99,50,,80/20 Split,SCAD uses regularization-based selection (balance N/A)
50,SCAD,Yes,No,cv,success,2.58,50,,5-Fold CV,SCAD uses regularization-based selection (balance N/A)
50,SCAD,Yes,No,cv,success,3.03,50,,10-Fold CV,SCAD uses regularization-based selection (balance N/A)
50,SCAD,Yes,No,loocv,success,2.6,50,,LOOCV,SCAD uses regularization-based selection (balance N/A)
50,SCAD,No,Yes,split,success,2.94,50,,70/30 Split,SCAD uses regularization-based selection (balance N/A)
50,SCAD,No,Yes,split,success,2.82,50,,80/20 Split,SCAD uses regularization-based selection (balance N/A)
50,SCAD,No,Yes,cv,success,2.47,50,,5-Fold CV,SCAD uses regularization-based selection (balance N/A)
50,SCAD,No,Yes,cv,success,2.98,50,,10-Fold CV,SCAD uses regularization-based selection (balance N/A)
50,SCAD,No,Yes,loocv,success,2.53,50,,LOOCV,SCAD uses regularization-based selection (balance N/A)
50,SCAD,No,No,split,success,2.98,50,,70/30 Split,SCAD uses regularization-based selection (balance N/A)
50,SCAD,No,No,split,success,2.72,50,,80/20 Split,SCAD uses regularization-based selection (balance N/A)
50,SCAD,No,No,cv,success,2.83,50,,5-Fold CV,SCAD uses regularization-based selection (balance N/A)
50,SCAD,No,No,cv,success,3.03,50,,10-Fold CV,SCAD uses regularization-based selection (balance N/A)
50,SCAD,No,No,loocv,success,2.85,50,,LOOCV,SCAD uses regularization-based selection (balance N/A)
